table,column,human_name,used_count,total_w2,used_pct,grade,should,notes,date_filter
breed_requirements,updated_at,Updated At,11,11,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breed_requirements,deleted_at,Deleted At,0,11,0.00,F,shouldn't,,created_at
broadcast_emails,id,Id,23,23,100.00,A,should,,created_at
broadcast_emails,email,Email,23,23,100.00,A,should,,created_at
broadcast_emails,created_at,Created At,23,23,100.00,A,should,,created_at
broadcast_emails,updated_at,Updated At,23,23,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
broadcast_emails,deleted_at,Deleted At,1,23,4.35,F,shouldn't,,created_at
club2user,id,Id,13414,13414,100.00,A,should,,created_at
club2user,user_id,User Id,13414,13414,100.00,A,should,,created_at
club2user,club_id,Club Id,13408,13414,99.96,A,should,,created_at
club2user,expire_date,Expire Date,13064,13414,97.39,A,should,Date/time semantics; check timezone and nullability.,created_at
club2user,type,Type,13405,13414,99.93,A,should,,created_at
club2user,status,Status,13414,13414,100.00,A,should,,created_at
club2user,created_at,Created At,13414,13414,100.00,A,should,,created_at
club2user,updated_at,Updated At,13414,13414,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
club2user,deleted_at,Deleted At,320,13414,2.39,F,shouldn't,,created_at
club2user,payment_status,Payment Status,13236,13414,98.67,A,should,,created_at
club2user,breeder_code,Breeder Code,213,13414,1.59,F,shouldn't,,created_at
club2user,breed_id,Breed Id,141,13414,1.05,A,should,,created_at
club2user,forbidden,Forbidden,13414,13414,100.00,A,should,,created_at
clubs,id,Id,2,2,100.00,A,should,,created_at
clubs,DataID,Data Id,2,2,100.00,A,should,,created_at
clubs,ModificationDateTime,Modification Date Time,0,2,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
clubs,CreationDateTime,Creation Date Time,0,2,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
clubs,ClubCode,Club Code,2,2,100.00,A,should,,created_at
clubs,Name,Name,2,2,100.00,A,should,,created_at
clubs,Address,Address,0,2,0.00,F,shouldn't,,created_at
clubs,Street,Street,0,2,0.00,F,shouldn't,,created_at
clubs,Number,Number,0,2,0.00,F,shouldn't,,created_at
clubs,Email,Email,0,2,0.00,F,shouldn't,,created_at
clubs,RegistrationPrice,Registration Price,2,2,100.00,A,should,,created_at
clubs,GeneralReviewFee,General Review Fee,0,2,0.00,F,shouldn't,,created_at
clubs,DogReviewFee,Dog Review Fee,0,2,0.00,F,shouldn't,,created_at
clubs,Breed_NonReg_Price,Breed Non Reg Price,0,2,0.00,F,shouldn't,,created_at
clubs,PerDog_NonReg_Price,Per Dog Non Reg Price,0,2,0.00,F,shouldn't,,created_at
clubs,TestPrice,Test Price,0,2,0.00,F,shouldn't,,created_at
clubs,Logo,Logo,0,2,0.00,F,shouldn't,,created_at
clubs,ManagerName,Manager Name,0,2,0.00,F,shouldn't,,created_at
clubs,ManagerEmail,Manager Email,0,2,0.00,F,shouldn't,,created_at
clubs,ManagerMobile,Manager Mobile,0,2,0.00,F,shouldn't,,created_at
clubs,SpecialKey,Special Key,0,2,0.00,F,shouldn't,,created_at
clubs,ManagerID,Manager Id,0,2,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
clubs,EngName,Eng Name,2,2,100.00,A,should,,created_at
clubs,status,Status,1,2,50.00,C,consider,,created_at
clubs,created_at,Created At,2,2,100.00,A,should,,created_at
clubs,updated_at,Updated At,2,2,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
clubs,deleted_at,Deleted At,0,2,0.00,F,shouldn't,,created_at
ColorsDB,id,Id,14,14,100.00,A,should,,created_at
ColorsDB,DataID,Data Id,1,14,7.14,A,should,,created_at
ColorsDB,ModificationDateTime,Modification Date Time,0,14,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
ColorsDB,CreationDateTime,Creation Date Time,0,14,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
ColorsDB,ColorNameHE,Color Name He,14,14,100.00,A,should,,created_at
ColorsDB,ColorNameEN,Color Name En,14,14,100.00,A,should,,created_at
ColorsDB,Remark,Remark,4,14,28.57,D,shouldn't,,created_at
ColorsDB,OldCode,Old Code,14,14,100.00,A,should,,created_at
ColorsDB,status,Status,14,14,100.00,A,should,,created_at
ColorsDB,created_at,Created At,14,14,100.00,A,should,,created_at
ColorsDB,updated_at,Updated At,14,14,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
ColorsDB,deleted_at,Deleted At,1,14,7.14,D,shouldn't,,created_at
country,id,Id,0,0,0.00,A,should,,created_at
country,country_name,Country Name,0,0,0.00,F,shouldn't,,created_at
country,country_name_en,Country Name En,0,0,0.00,F,shouldn't,,created_at
country,country_code,Country Code,0,0,0.00,F,shouldn't,,created_at
country,created_at,Created At,0,0,0.00,F,shouldn't,,created_at
country,updated_at,Updated At,0,0,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
country,deleted_at,Deleted At,0,0,0.00,F,shouldn't,,created_at
currency,id,Id,0,0,0.00,A,should,,created_at
currency,name,Name,0,0,0.00,F,shouldn't,,created_at
currency,sign,Sign,0,0,0.00,F,shouldn't,,created_at
currency,value,Value,0,0,0.00,F,shouldn't,,created_at
currency,gateway,Gateway,0,0,0.00,F,shouldn't,,created_at
currency,created_at,Created At,0,0,0.00,F,shouldn't,,created_at
currency,updated_at,Updated At,0,0,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
currency,deleted_at,Deleted At,0,0,0.00,F,shouldn't,,created_at
dogs2users,id,Id,29002,29002,100.00,A,should,,created_at
dogs2users,user_id,User Id,28917,29002,99.71,A,should,,created_at
dogs2users,sagir_id,Sagir Id,29002,29002,100.00,A,should,,created_at
dogs2users,status,Status,29002,29002,100.00,A,should,,created_at
dogs2users,is_current_owner,Is Current Owner,689,29002,2.38,F,shouldn't,,created_at
dogs2users,Show_In_Pedigree,Show In Pedigree,143,29002,0.49,F,shouldn't,,created_at
dogs2users,created_at,Created At,29002,29002,100.00,A,should,,created_at
dogs2users,updated_at,Updated At,29002,29002,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
dogs2users,deleted_at,Deleted At,2768,29002,9.54,D,shouldn't,,created_at
DogsDB,id,Id,29042,29042,100.00,A,should,,created_at
DogsDB,DataID,Data Id,29042,29042,100.00,A,should,,created_at
DogsDB,ModificationDateTime,Modification Date Time,1,29042,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
DogsDB,CreationDateTime,Creation Date Time,1,29042,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
DogsDB,SagirID,Sagir Id,29042,29042,100.00,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,Heb_Name,Heb Name,13946,29042,48.02,C,consider,,created_at
DogsDB,Eng_Name,Eng Name,15391,29042,53.00,C,consider,,created_at
DogsDB,BeitGidulID,Beit Gidul Id,6911,29042,23.80,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,BeitGidulName,Beit Gidul Name,0,29042,0.00,F,shouldn't,,created_at
DogsDB,RegDate,Reg Date,29016,29042,99.91,A,should,Date/time semantics; check timezone and nullability.,created_at
DogsDB,BirthDate,Birth Date,16410,29042,56.50,C,consider,Date/time semantics; check timezone and nullability.,created_at
DogsDB,RaceID,Race Id,29042,29042,100.00,A,should,Breed mapping via BreedsDB.BreedCode.,created_at
DogsDB,Sex,Sex,13,29042,0.04,F,shouldn't,,created_at
DogsDB,ColorID,Color Id,29037,29042,99.98,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,HairID,Hair Id,29028,29042,99.95,A,should,Likely foreign key; verify relation mapping.,created_at
DogsDB,SupplementarySign,Supplementary Sign,0,29042,0.00,F,shouldn't,,created_at
